primaryTitle,primaryName
Hey Ram,Manohar Shyam Joshi
Hey Ram,Ilaiyaraaja
Hey Ram,S. Tirru
Hey Ram,Renu Saluja
Sound and Fury,John Griffin
Sound and Fury,Jaime Leigh Allen
Sound and Fury,Jemma Braham
Sound and Fury,Freeda Cat
Sound and Fury,Scott Davidson
Sound and Fury,Josh Aronson
Sound and Fury,Roger Weisberg
Sound and Fury,Mark Suozzo
Sound and Fury,Ann Collins
Sound and Fury,Ruthanne Gereghty
Alai Payuthey,A. Sreekar Prasad
Alai Payuthey,Madhavan
Alai Payuthey,Shalini
Alai Payuthey,Swarnamalya
Alai Payuthey,V. Natarajan
Alai Payuthey,Mani Ratnam
Alai Payuthey,R. Selvaraj
Alai Payuthey,G. Srinivasan
Alai Payuthey,A.R. Rahman
Alai Payuthey,P.C. Sreeram
Fraud Business,A.G. Nadiadwala
Fraud Business,Akshay Kumar
Fraud Business,Paresh Rawal
Fraud Business,Sunil Shetty
Fraud Business,Tabu
Fraud Business,Priyadarshan
Fraud Business,Siddique
Fraud Business,Lal
Fraud Business,Neeraj Vora
Fraud Business,Anand S. Vardhan
Yi Yi,Nien-Jen Wu
Yi Yi,Elaine Jin
Yi Yi,Issei Ogata
Yi Yi,Kelly Lee
Yi Yi,Edward Yang
Yi Yi,Kai-Li Peng
Yi Yi,Wei-Han Yang
Yi Yi,Po-Wen Chen
Yi Yi,Peng
Spirited Away,Joe Hisaishi
Spirited Away,Daveigh Chase
Spirited Away,Suzanne Pleshette
Spirited Away,Miyu Irino
Spirited Away,Rumi Hiiragi
Spirited Away,Hayao Miyazaki
Spirited Away,Kirk Wise
Spirited Away,Donald W. Ernst
Spirited Away,John Lasseter
Spirited Away,Toshio Suzuki
Amores Perros,Fernando Pérez Unda
Amores Perros,Emilio Echevarría
Amores Perros,Gael García Bernal
Amores Perros,Goya Toledo
Amores Perros,Álvaro Guerrero
Amores Perros,Alejandro G. Iñárritu
Amores Perros,Guillermo Arriaga
Amores Perros,Gustavo Santaolalla
Amores Perros,Rodrigo Prieto
Amores Perros,Luis Carballar
Devils on the Doorstep,Xiaodian Liu
Devils on the Doorstep,Wen Jiang
Devils on the Doorstep,Kenya Sawada
Devils on the Doorstep,Hongbo Jiang
Devils on the Doorstep,Teruyuki Kagawa
Devils on the Doorstep,Haiying Li
Devils on the Doorstep,Xing Liu
Devils on the Doorstep,Jianquan Shi
Devils on the Doorstep,Ping Shu
Devils on the Doorstep,Fengwei You
Donnie Darko,Steven Poster
Donnie Darko,Jake Gyllenhaal
Donnie Darko,Jena Malone
Donnie Darko,Mary McDonnell
Donnie Darko,Holmes Osborne
Donnie Darko,Richard Kelly
Donnie Darko,Adam Fields
Donnie Darko,Nancy Juvonen
Donnie Darko,Sean McKittrick
Donnie Darko,Michael Andrews
Werckmeister Harmonies,György Fehér
Werckmeister Harmonies,Lars Rudolph
Werckmeister Harmonies,Peter Fitz
Werckmeister Harmonies,Hanna Schygulla
Werckmeister Harmonies,János Derzsi
Werckmeister Harmonies,Béla Tarr
Werckmeister Harmonies,Ágnes Hranitzky
Werckmeister Harmonies,László Krasznahorkai
Werckmeister Harmonies,Péter Dobai
Werckmeister Harmonies,Gyuri Dósa Kiss
The Pianist,Wojciech Kilar
The Pianist,Adrien Brody
The Pianist,Thomas Kretschmann
The Pianist,Frank Finlay
The Pianist,Emilia Fox
The Pianist,Roman Polanski
The Pianist,Ronald Harwood
The Pianist,Wladyslaw Szpilman
The Pianist,Robert Benmussa
The Pianist,Alain Sarde
"La Commune (Paris, 1871)",Patrice Le Turcq
"La Commune (Paris, 1871)",Eliane Annie Adalto
"La Commune (Paris, 1871)",Pierre Barbieux
"La Commune (Paris, 1871)",Bernard Bombeau
"La Commune (Paris, 1871)",Maylis Bouffartigue
"La Commune (Paris, 1871)",Peter Watkins
"La Commune (Paris, 1871)",Agathe Bluysen
"La Commune (Paris, 1871)",Odd-Geir Sæther
"La Commune (Paris, 1871)",Olivier Ferrari
"La Commune (Paris, 1871)",Patrick Watkins
The Testaments: Of One Fold and One Shepherd,Jerry Stayner
The Testaments: Of One Fold and One Shepherd,Rick Macy
The Testaments: Of One Fold and One Shepherd,Jeremy Hoop
The Testaments: Of One Fold and One Shepherd,Arianna Marsden
The Testaments: Of One Fold and One Shepherd,Joy Gardner
The Testaments: Of One Fold and One Shepherd,Kieth Merrill
