origins,destinations,counts,lon_o,lat_o,lon_d,lat_d
"Hudson Bay, Manitoba",New York Aquarium,5,-98.647012899999993,49.1963343,-73.9748754,40.5742632
Marine World Africa USA,Six Flags Discovery Kingdom,5,-122.2340155,38.13819549999999,-122.2340155,38.13819549999999
Minnesota Zoo,Brookfield Zoo,5,-93.19667179999999,44.767807,-87.8357137,41.8328916
New York Aquarium,National Aquarium in Baltimore,5,-73.9748754,40.5742632,-76.6082871,39.2850948
Seattle Marine Aquarium,SeaWorld San Diego,5,-122.3429996,47.607445,-117.2266083,32.7647903
SeaWorld Orlando,Gulf World Marine Park,5,-81.4617047,28.4114555,-85.8671863,30.2111627
SeaWorld San Antonio,Discovery Cove Orlando,5,-98.69931509999999,29.4584176,-81.4597077,28.4060928
Brookfield Zoo,Minnesota Zoo,4,-87.8357137,41.8328916,-93.19667179999999,44.767807
Discovery Cove Orlando,Dolphins Plus,4,-81.4597077,28.4060928,-80.41895989999999,25.1189869
"Dolphin Connection, Florida",Mirage Dolphin Habitat,4,-80.9096457,24.7764696,-115.1784079,36.1203291
Gulf World Marine Park,Gulfarium,4,-85.8671863,30.2111627,-86.593546,30.394468
Harbor Branch Institute,SeaWorld Orlando,4,-80.3600221,27.5351376,-81.4617047,28.4114555
"Hudson Bay, Manitoba",Point Defiance Zoo,4,-98.647012899999993,49.1963343,-122.5208211,47.3048779
Indianapolis Zoo,Texas State Aquarium,4,-86.18073,39.767442,-97.39196919999999,27.8137645
Long Marine Laboratory,Shedd Aquarium,4,-122.0655899,36.9496812,-87.614038,41.8675726
Marineland of Canada,SeaWorld Orlando,4,-79.07060059999999,43.0649729,-81.4617047,28.4114555
Marineland of Florida,SeaWorld Orlando,4,-81.213398,29.6688614,-81.4617047,28.4114555
National Aquarium in Baltimore,Dolphin Research Center,4,-76.6082871,39.2850948,-74.9064696,38.9513858
Naval Base Point Loma,"Dolphin Connection, Florida",4,-117.2400346,32.6889711,-80.9096457,24.7764696
Pacific Ocean,Long Marine Laboratory,4,-124.508523,-8.783195,-122.0655899,36.9496812
